segment_id,mean_disp_mm,max_disp_mm,std_disp_mm,mean_coherence,low_coh_pct,n_pairs
135,-5.678,-121.9,7.104,0.4,20.0,5
136,-5.662,-121.147,6.369,0.385,20.0,5
137,-5.984,-121.147,5.971,0.412,0.0,5
138,-6.585,-121.147,5.286,0.435,0.0,5
139,-7.127,-108.931,7.852,0.347,20.0,5
140,-6.667,-103.769,9.214,0.316,40.0,5
141,-6.448,-103.769,8.9,0.329,40.0,5
142,-5.75,-107.698,9.327,0.325,40.0,5
143,-6.116,-100.835,10.073,0.309,40.0,5
144,-8.752,-100.835,11.046,0.308,40.0,5
145,-10.166,-115.571,10.029,0.305,60.0,5
146,-7.695,-105.163,9.799,0.339,40.0,5
147,-6.117,-105.163,9.164,0.37,40.0,5
148,-5.782,-114.828,9.52,0.321,60.0,5
149,-47.597,-118.775,11.831,0.222,40.0,5
150,,,,,0.0,5
151,,,,,0.0,5
152,,,,,0.0,5
153,,,,,0.0,5
154,,,,,0.0,5
155,,,,,0.0,5
156,,,,,0.0,5
157,,,,,0.0,5
158,,,,,0.0,5
159,,,,,0.0,5
160,,,,,0.0,5
161,,,,,0.0,5
162,,,,,0.0,5
163,,,,,0.0,5
164,,,,,0.0,5
165,,,,,0.0,5
166,,,,,0.0,5
167,,,,,0.0,5
168,,,,,0.0,5
169,,,,,0.0,5
170,,,,,0.0,5
171,,,,,0.0,5
172,,,,,0.0,5
173,,,,,0.0,5
174,,,,,0.0,5
175,,,,,0.0,5
176,,,,,0.0,5
177,,,,,0.0,5
178,,,,,0.0,5
179,,,,,0.0,5
180,,,,,0.0,5
181,,,,,0.0,5
182,,,,,0.0,5
183,,,,,0.0,5
184,,,,,0.0,5
185,,,,,0.0,5
186,,,,,0.0,5
187,,,,,0.0,5
188,,,,,0.0,5
189,,,,,0.0,5
190,,,,,0.0,5
191,,,,,0.0,5
192,,,,,0.0,5
193,,,,,0.0,5
194,,,,,0.0,5
195,,,,,0.0,5
196,,,,,0.0,5
197,,,,,0.0,5
198,,,,,0.0,5
199,,,,,0.0,5
200,,,,,0.0,5
201,,,,,0.0,5
202,,,,,0.0,5
203,,,,,0.0,5
204,,,,,0.0,5
205,,,,,0.0,5
206,,,,,0.0,5
207,,,,,0.0,5
208,,,,,0.0,5
209,,,,,0.0,5
210,,,,,0.0,5
211,,,,,0.0,5
212,,,,,0.0,5
213,,,,,0.0,5
214,,,,,0.0,5
215,,,,,0.0,5
216,,,,,0.0,5
217,,,,,0.0,5
218,,,,,0.0,5
219,,,,,0.0,5
220,,,,,0.0,5
221,,,,,0.0,5
222,,,,,0.0,5
223,,,,,0.0,5
224,,,,,0.0,5
225,,,,,0.0,5
226,,,,,0.0,5
227,,,,,0.0,5
228,,,,,0.0,5
229,,,,,0.0,5
230,,,,,0.0,5
231,,,,,0.0,5
232,,,,,0.0,5
233,,,,,0.0,5
234,,,,,0.0,5
235,,,,,0.0,5
236,,,,,0.0,5
237,,,,,0.0,5
238,,,,,0.0,5
239,,,,,0.0,5
240,,,,,0.0,5
241,,,,,0.0,5
242,,,,,0.0,5
243,,,,,0.0,5
244,,,,,0.0,5
245,,,,,0.0,5
246,,,,,0.0,5
247,,,,,0.0,5
248,,,,,0.0,5
249,,,,,0.0,5
250,,,,,0.0,5
251,,,,,0.0,5
252,,,,,0.0,5
253,,,,,0.0,5
254,,,,,0.0,5
255,,,,,0.0,5
256,,,,,0.0,5
257,,,,,0.0,5
258,,,,,0.0,5
259,,,,,0.0,5
260,,,,,0.0,5
261,,,,,0.0,5
262,,,,,0.0,5
263,,,,,0.0,5
264,,,,,0.0,5
265,,,,,0.0,5
266,,,,,0.0,5
267,,,,,0.0,5
268,,,,,0.0,5
269,,,,,0.0,5
270,,,,,0.0,5
271,,,,,0.0,5
272,,,,,0.0,5
273,,,,,0.0,5
274,,,,,0.0,5
275,,,,,0.0,5
276,,,,,0.0,5
277,,,,,0.0,5
278,,,,,0.0,5
279,,,,,0.0,5
280,,,,,0.0,5
281,,,,,0.0,5
282,,,,,0.0,5
283,,,,,0.0,5
284,,,,,0.0,5
285,,,,,0.0,5
286,,,,,0.0,5
287,,,,,0.0,5
288,,,,,0.0,5
289,,,,,0.0,5
290,,,,,0.0,5
291,,,,,0.0,5
292,,,,,0.0,5
293,,,,,0.0,5
294,,,,,0.0,5
295,,,,,0.0,5
296,,,,,0.0,5
297,,,,,0.0,5
298,,,,,0.0,5
299,,,,,0.0,5
300,,,,,0.0,5
301,,,,,0.0,5
302,,,,,0.0,5
303,,,,,0.0,5
304,,,,,0.0,5
305,,,,,0.0,5
306,,,,,0.0,5
307,,,,,0.0,5
308,,,,,0.0,5
309,,,,,0.0,5
310,,,,,0.0,5
311,,,,,0.0,5
312,,,,,0.0,5
313,,,,,0.0,5
314,,,,,0.0,5
315,,,,,0.0,5
316,,,,,0.0,5
317,,,,,0.0,5
318,,,,,0.0,5
319,,,,,0.0,5
320,,,,,0.0,5
321,,,,,0.0,5
322,,,,,0.0,5
323,,,,,0.0,5
324,,,,,0.0,5
325,,,,,0.0,5
326,,,,,0.0,5
327,,,,,0.0,5
328,,,,,0.0,5
329,,,,,0.0,5
330,,,,,0.0,5
331,,,,,0.0,5
332,,,,,0.0,5
333,,,,,0.0,5
334,,,,,0.0,5
335,,,,,0.0,5
336,,,,,0.0,5
337,,,,,0.0,5
338,,,,,0.0,5
339,,,,,0.0,5
340,,,,,0.0,5
341,,,,,0.0,5
342,,,,,0.0,5
