segment_id,n_pairs,mean_disp_mm,disp_trend_mm_per_month,disp_std_mm,mean_coherence,max_disp_mm,min_disp_mm
103,35,2.468,-0.2227,79.629,0.495,165.102,-187.808
104,35,2.433,-0.2721,78.946,0.5,159.376,-184.905
105,35,2.858,-0.3014,78.706,0.442,157.661,-179.711
106,35,3.015,-0.2004,80.261,0.412,162.057,-177.895
107,35,2.88,-0.1834,81.644,0.444,169.265,-176.734
108,35,3.091,-0.2888,82.329,0.464,174.992,-179.312
109,35,3.083,-0.2252,81.788,0.44,175.439,-175.607
110,35,2.362,-0.0923,80.313,0.449,173.792,-165.888
111,35,1.935,-0.1052,78.6,0.494,167.826,-154.594
112,35,2.932,-0.1971,76.609,0.493,156.194,-144.656
113,35,3.567,-0.2266,76.763,0.454,155.274,-141.99
114,35,3.52,-0.291,77.53,0.406,160.943,-153.636
115,35,3.27,-0.2995,77.027,0.393,163.286,-160.425
116,35,3.406,-0.2412,77.312,0.486,168.411,-164.337
117,35,3.867,-0.2247,78.339,0.524,173.398,-169.763
118,35,4.211,-0.2195,78.483,0.522,172.584,-169.65
119,35,4.442,-0.214,79.164,0.51,167.422,-165.845
120,35,4.637,-0.1981,79.915,0.491,168.822,-163.889
121,35,4.734,-0.1982,80.766,0.509,166.081,-165.47
122,35,4.352,-0.2116,82.274,0.495,165.778,-165.627
123,35,4.616,-0.2835,82.739,0.438,167.166,-161.698
124,35,5.337,-0.3453,82.085,0.455,168.634,-158.942
125,35,5.438,-0.3326,81.786,0.527,165.98,-160.742
126,35,4.75,-0.2703,82.569,0.537,162.501,-159.072
127,35,4.701,-0.2679,83.943,0.533,168.83,-170.908
128,35,5.183,-0.2826,84.827,0.506,172.625,-172.724
129,35,4.774,-0.2585,85.026,0.414,168.293,-170.615
130,35,4.625,-0.2482,84.402,0.413,166.288,-170.34
131,35,4.149,-0.2292,83.713,0.473,165.971,-168.31
132,35,3.617,-0.2097,83.779,0.491,162.955,-164.614
133,35,3.584,-0.1514,84.389,0.421,158.49,-159.185
134,35,4.295,-0.1969,83.318,0.398,153.899,-155.779
135,35,5.215,-0.3378,82.075,0.444,151.171,-152.118
136,35,5.611,-0.3666,82.728,0.42,167.68,-149.708
137,35,5.502,-0.3639,83.581,0.452,177.478,-147.598
138,35,5.378,-0.4006,84.1,0.492,180.356,-150.917
139,35,4.976,-0.3768,84.088,0.404,175.892,-158.48
140,35,3.657,-0.245,83.22,0.386,159.45,-165.852
141,35,2.656,-0.1752,83.675,0.422,147.41,-170.116
142,35,2.978,-0.1361,84.48,0.409,153.834,-167.854
143,35,3.412,-0.1656,85.616,0.366,164.589,-168.603
144,35,3.366,-0.2746,85.568,0.341,165.472,-169.837
145,35,3.132,-0.295,85.477,0.351,170.696,-166.665
146,35,2.748,-0.1458,86.743,0.418,180.897,-165.28
147,35,2.951,-0.1138,87.511,0.438,181.869,-164.198
148,35,4.005,-0.1837,86.977,0.377,178.362,-163.993
149,32,-3.318,-1.7847,85.94,0.407,169.261,-162.57
150,1,,,,,,
151,0,,,,,,
152,0,,,,,,
153,0,,,,,,
154,0,,,,,,
155,0,,,,,,
156,0,,,,,,
157,0,,,,,,
158,0,,,,,,
159,0,,,,,,
160,0,,,,,,
161,0,,,,,,
162,0,,,,,,
163,0,,,,,,
164,0,,,,,,
165,0,,,,,,
166,0,,,,,,
167,0,,,,,,
168,0,,,,,,
169,0,,,,,,
170,0,,,,,,
171,0,,,,,,
172,0,,,,,,
173,0,,,,,,
174,0,,,,,,
175,0,,,,,,
176,0,,,,,,
177,0,,,,,,
178,0,,,,,,
179,0,,,,,,
180,0,,,,,,
181,0,,,,,,
182,0,,,,,,
183,0,,,,,,
184,0,,,,,,
185,0,,,,,,
186,0,,,,,,
187,0,,,,,,
188,0,,,,,,
189,0,,,,,,
190,0,,,,,,
191,0,,,,,,
192,0,,,,,,
193,0,,,,,,
194,0,,,,,,
195,0,,,,,,
196,0,,,,,,
197,0,,,,,,
198,0,,,,,,
199,0,,,,,,
200,0,,,,,,
201,0,,,,,,
202,0,,,,,,
203,0,,,,,,
204,0,,,,,,
205,0,,,,,,
206,0,,,,,,
207,0,,,,,,
208,0,,,,,,
209,0,,,,,,
210,0,,,,,,
211,0,,,,,,
212,0,,,,,,
213,0,,,,,,
214,0,,,,,,
215,0,,,,,,
216,0,,,,,,
217,0,,,,,,
218,0,,,,,,
219,0,,,,,,
220,0,,,,,,
221,0,,,,,,
222,0,,,,,,
223,0,,,,,,
224,0,,,,,,
225,0,,,,,,
226,0,,,,,,
227,0,,,,,,
228,0,,,,,,
229,0,,,,,,
230,0,,,,,,
231,0,,,,,,
232,0,,,,,,
233,0,,,,,,
234,0,,,,,,
235,0,,,,,,
236,0,,,,,,
237,0,,,,,,
238,0,,,,,,
239,0,,,,,,
240,0,,,,,,
241,0,,,,,,
242,0,,,,,,
243,0,,,,,,
244,0,,,,,,
245,0,,,,,,
246,0,,,,,,
247,0,,,,,,
248,0,,,,,,
249,0,,,,,,
250,0,,,,,,
251,0,,,,,,
252,0,,,,,,
253,0,,,,,,
254,0,,,,,,
255,0,,,,,,
256,0,,,,,,
257,0,,,,,,
258,0,,,,,,
259,0,,,,,,
260,0,,,,,,
261,0,,,,,,
262,0,,,,,,
263,0,,,,,,
264,0,,,,,,
265,0,,,,,,
266,0,,,,,,
267,0,,,,,,
268,0,,,,,,
269,0,,,,,,
270,0,,,,,,
271,0,,,,,,
272,0,,,,,,
273,0,,,,,,
274,0,,,,,,
275,0,,,,,,
276,0,,,,,,
277,0,,,,,,
278,0,,,,,,
279,0,,,,,,
280,0,,,,,,
281,0,,,,,,
282,0,,,,,,
283,0,,,,,,
284,0,,,,,,
285,0,,,,,,
286,0,,,,,,
287,0,,,,,,
288,0,,,,,,
289,0,,,,,,
290,0,,,,,,
291,0,,,,,,
292,0,,,,,,
293,0,,,,,,
294,0,,,,,,
295,0,,,,,,
296,0,,,,,,
297,0,,,,,,
298,0,,,,,,
299,0,,,,,,
300,0,,,,,,
301,0,,,,,,
302,0,,,,,,
303,0,,,,,,
304,0,,,,,,
305,0,,,,,,
306,0,,,,,,
307,0,,,,,,
308,0,,,,,,
309,0,,,,,,
310,0,,,,,,
311,0,,,,,,
312,0,,,,,,
313,0,,,,,,
314,0,,,,,,
315,0,,,,,,
316,0,,,,,,
317,0,,,,,,
318,0,,,,,,
319,0,,,,,,
320,0,,,,,,
321,0,,,,,,
322,0,,,,,,
323,0,,,,,,
324,0,,,,,,
325,0,,,,,,
326,0,,,,,,
327,0,,,,,,
328,0,,,,,,
329,0,,,,,,
330,0,,,,,,
331,0,,,,,,
332,0,,,,,,
333,0,,,,,,
334,0,,,,,,
335,0,,,,,,
336,0,,,,,,
337,0,,,,,,
338,0,,,,,,
339,0,,,,,,
340,0,,,,,,
341,0,,,,,,
342,0,,,,,,
